event_id,product_id,store_id,category,timestamp,current_stock,shelf_capacity,sales_last_10min,stock_ratio,replenishment_pending,category_encoded,store_encoded,stockout_label
EVT964278,P013,S03,dairy,2026-06-08T15:57:39.232276,5,40,17,0.125,0,0,2,1
EVT487705,P015,S01,beverages,2026-06-08T15:57:39.739557,34,60,0,0.5667,0,2,0,1
EVT369922,P014,S04,beverages,2026-06-08T15:57:40.242650,0,60,11,0.0,0,2,3,1
EVT563707,P010,S01,bakery,2026-06-08T15:57:40.748152,26,35,0,0.7429,0,1,0,0
EVT427716,P017,S02,household,2026-06-08T15:57:41.248948,11,30,14,0.3667,0,5,1,0
EVT555854,P013,S03,frozen,2026-06-08T15:57:41.750332,36,45,4,0.8,0,4,2,1
EVT607055,P002,S04,bakery,2026-06-08T15:57:42.257522,23,35,1,0.6571,0,1,3,1
EVT857705,P006,S02,household,2026-06-08T15:57:42.764224,2,30,17,0.0667,0,5,1,1
EVT443634,P018,S02,beverages,2026-06-08T15:57:43.271892,55,60,0,0.9167,0,2,1,0
EVT999552,P017,S01,household,2026-06-08T15:57:43.774121,8,30,1,0.2667,0,5,0,0
EVT664963,P003,S02,snacks,2026-06-08T15:57:44.275000,34,50,5,0.68,0,3,1,1
EVT180948,P020,S02,household,2026-06-08T15:57:44.778166,8,30,18,0.2667,0,5,1,1
EVT705174,P010,S03,bakery,2026-06-08T15:57:45.284306,32,35,0,0.9143,0,1,2,0
EVT579659,P008,S04,beverages,2026-06-08T15:57:45.792370,2,60,17,0.0333,0,2,3,1
EVT618106,P003,S02,snacks,2026-06-08T15:57:46.295165,1,50,5,0.02,0,3,1,1
EVT117289,P005,S02,beverages,2026-06-08T15:57:46.801084,7,60,4,0.1167,0,2,1,0
EVT293222,P016,S04,dairy,2026-06-08T15:57:47.308501,32,40,2,0.8,0,0,3,1
EVT515474,P018,S02,household,2026-06-08T15:57:47.814809,13,30,0,0.4333,0,5,1,0
EVT937934,P009,S04,bakery,2026-06-08T15:57:48.316481,28,35,2,0.8,0,1,3,1
EVT561100,P016,S01,dairy,2026-06-08T15:57:48.818574,23,40,1,0.575,0,0,0,0
EVT738622,P015,S01,beverages,2026-06-08T15:57:49.322047,8,60,4,0.1333,0,2,0,0
EVT355112,P007,S04,beverages,2026-06-08T15:57:49.831665,49,60,4,0.8167,0,2,3,0
EVT521447,P018,S03,dairy,2026-06-08T15:57:50.339388,6,40,11,0.15,1,0,2,0
EVT980361,P008,S03,snacks,2026-06-08T15:57:50.842523,11,50,14,0.22,0,3,2,1
EVT450744,P009,S04,snacks,2026-06-08T15:57:51.348461,1,50,15,0.02,0,3,3,1
EVT889927,P014,S02,bakery,2026-06-08T15:57:51.856463,13,35,8,0.3714,0,1,1,0
EVT320454,P012,S01,snacks,2026-06-08T15:57:52.365381,15,50,8,0.3,1,3,0,1
EVT651974,P011,S03,frozen,2026-06-08T15:57:52.868091,33,45,0,0.7333,0,4,2,0
EVT249971,P016,S03,bakery,2026-06-08T15:57:53.371703,30,35,4,0.8571,0,1,2,0
EVT383687,P010,S03,snacks,2026-06-08T15:57:53.873078,38,50,0,0.76,0,3,2,0
EVT817231,P012,S04,bakery,2026-06-08T15:57:54.378959,4,35,2,0.1143,0,1,3,1
EVT987686,P018,S02,household,2026-06-08T15:57:54.883371,16,30,3,0.5333,0,5,1,1
EVT909410,P016,S01,household,2026-06-08T15:57:55.390403,28,30,5,0.9333,0,5,0,0
EVT535342,P004,S04,beverages,2026-06-08T15:57:55.896921,18,60,13,0.3,0,2,3,1
EVT920970,P013,S04,snacks,2026-06-08T15:57:56.402543,31,50,0,0.62,0,3,3,1
EVT778801,P009,S04,bakery,2026-06-08T15:57:56.904441,11,35,10,0.3143,0,1,3,1
EVT703686,P004,S03,dairy,2026-06-08T15:57:57.407191,21,40,1,0.525,0,0,2,1
EVT117529,P014,S01,dairy,2026-06-08T15:57:57.911246,10,40,12,0.25,0,0,0,1
EVT921459,P005,S04,beverages,2026-06-08T15:57:58.417307,22,60,10,0.3667,0,2,3,1
EVT248217,P015,S01,dairy,2026-06-08T15:57:58.923550,18,40,11,0.45,1,0,0,1
EVT856545,P008,S02,frozen,2026-06-08T15:57:59.429641,1,45,5,0.0222,0,4,1,1
EVT883811,P020,S02,household,2026-06-08T15:57:59.932731,3,30,10,0.1,0,5,1,1
EVT229865,P010,S03,beverages,2026-06-08T15:58:00.436945,44,60,4,0.7333,0,2,2,0
EVT909203,P017,S02,household,2026-06-08T15:58:00.939143,2,30,9,0.0667,1,5,1,1
EVT125367,P017,S01,snacks,2026-06-08T15:58:01.441674,1,50,1,0.02,0,3,0,0
EVT492945,P014,S03,household,2026-06-08T15:58:01.944922,25,30,4,0.8333,0,5,2,0
EVT213495,P009,S03,bakery,2026-06-08T15:58:02.449073,14,35,9,0.4,0,1,2,1
EVT736500,P003,S01,frozen,2026-06-08T15:58:02.955399,27,45,4,0.6,0,4,0,1
EVT398812,P009,S01,bakery,2026-06-08T15:58:03.458743,4,35,16,0.1143,0,1,0,1
EVT745910,P017,S04,frozen,2026-06-08T15:58:03.960917,3,45,16,0.0667,0,4,3,1
EVT824924,P018,S02,frozen,2026-06-08T15:58:04.464884,8,45,12,0.1778,0,4,1,1
EVT353450,P020,S02,frozen,2026-06-08T15:58:04.971236,24,45,5,0.5333,0,4,1,0
EVT700931,P009,S03,bakery,2026-06-08T15:58:05.474778,5,35,17,0.1429,0,1,2,1
EVT964654,P002,S01,frozen,2026-06-08T15:58:05.977818,3,45,2,0.0667,0,4,0,1
EVT950677,P007,S03,bakery,2026-06-08T15:58:06.480834,8,35,10,0.2286,0,1,2,1
EVT470650,P011,S01,beverages,2026-06-08T15:58:06.983996,9,60,1,0.15,0,2,0,0
EVT613160,P007,S03,beverages,2026-06-08T15:58:07.486746,33,60,1,0.55,0,2,2,1
EVT366495,P001,S01,snacks,2026-06-08T15:58:07.991253,45,50,4,0.9,0,3,0,0
EVT571929,P018,S04,bakery,2026-06-08T15:58:08.498347,24,35,1,0.6857,0,1,3,0
EVT152071,P015,S04,frozen,2026-06-08T15:58:09.001831,30,45,3,0.6667,0,4,3,1
EVT230261,P017,S04,household,2026-06-08T15:58:09.505420,15,30,1,0.5,0,5,3,0
EVT932078,P017,S04,snacks,2026-06-08T15:58:10.008721,0,50,10,0.0,0,3,3,1
EVT305283,P004,S03,household,2026-06-08T15:58:10.515447,29,30,3,0.9667,0,5,2,0
EVT758140,P003,S01,bakery,2026-06-08T15:58:11.022917,5,35,6,0.1429,1,1,0,1
EVT900235,P003,S04,frozen,2026-06-08T15:58:11.525485,32,45,3,0.7111,0,4,3,0
EVT126635,P011,S01,household,2026-06-08T15:58:12.029412,29,30,5,0.9667,1,5,0,0
EVT746268,P009,S04,beverages,2026-06-08T15:58:12.536635,56,60,6,0.9333,0,2,3,0
EVT421736,P006,S02,beverages,2026-06-08T15:58:13.037579,43,60,1,0.7167,0,2,1,0
EVT523457,P017,S04,household,2026-06-08T15:58:13.538693,11,30,9,0.3667,0,5,3,1
EVT659262,P011,S01,snacks,2026-06-08T15:58:14.041838,50,50,5,1.0,0,3,0,0
EVT243500,P001,S04,beverages,2026-06-08T15:58:14.546449,19,60,13,0.3167,0,2,3,0
EVT822919,P017,S01,dairy,2026-06-08T15:58:15.049221,39,40,0,0.975,0,0,0,0
EVT599858,P016,S01,frozen,2026-06-08T15:58:15.553326,23,45,5,0.5111,0,4,0,1
EVT544571,P020,S01,household,2026-06-08T15:58:16.054627,4,30,1,0.1333,0,5,0,1
EVT215987,P002,S03,frozen,2026-06-08T15:58:16.505070,6,45,17,0.1333,0,4,2,1
EVT388388,P012,S02,snacks,2026-06-08T15:58:17.008631,6,50,1,0.12,0,3,1,0
EVT709674,P008,S02,snacks,2026-06-08T15:58:17.510835,8,50,15,0.16,0,3,1,1
EVT102507,P009,S04,household,2026-06-08T15:58:18.016922,25,30,6,0.8333,0,5,3,0
EVT852176,P018,S03,bakery,2026-06-08T15:58:18.524915,0,35,15,0.0,1,1,2,1
EVT299685,P019,S04,frozen,2026-06-08T15:58:19.027197,12,45,11,0.2667,0,4,3,1
EVT573980,P008,S04,bakery,2026-06-08T15:58:19.528062,3,35,13,0.0857,0,1,3,1
EVT518236,P018,S02,household,2026-06-08T15:58:20.031111,17,30,1,0.5667,0,5,1,0
EVT284942,P010,S03,snacks,2026-06-08T15:58:20.536054,14,50,16,0.28,0,3,2,1
EVT930178,P013,S01,beverages,2026-06-08T15:58:21.038846,8,60,1,0.1333,0,2,0,1
EVT285430,P011,S04,dairy,2026-06-08T15:58:21.542212,28,40,6,0.7,0,0,3,0
EVT298032,P013,S02,dairy,2026-06-08T15:58:22.047280,31,40,5,0.775,0,0,1,0
EVT536638,P006,S04,beverages,2026-06-08T15:58:22.549393,8,60,7,0.1333,1,2,3,1
EVT297957,P009,S04,beverages,2026-06-08T15:58:23.051960,2,60,17,0.0333,0,2,3,1
EVT473573,P002,S02,bakery,2026-06-08T15:58:23.554986,5,35,13,0.1429,0,1,1,1
EVT913495,P011,S01,beverages,2026-06-08T15:58:24.060230,31,60,0,0.5167,0,2,0,0
EVT636980,P017,S02,household,2026-06-08T15:58:24.563007,7,30,11,0.2333,0,5,1,1
EVT240871,P016,S01,household,2026-06-08T15:58:25.066949,17,30,0,0.5667,0,5,0,0
EVT318702,P003,S02,household,2026-06-08T15:58:25.567946,18,30,6,0.6,1,5,1,0
EVT480615,P011,S02,dairy,2026-06-08T15:58:26.071056,30,40,6,0.75,0,0,1,1
EVT402748,P014,S01,dairy,2026-06-08T15:58:26.578870,7,40,16,0.175,0,0,0,0
EVT209440,P011,S03,snacks,2026-06-08T15:58:27.081092,4,50,13,0.08,0,3,2,1
EVT279946,P019,S02,snacks,2026-06-08T15:58:27.586529,18,50,6,0.36,0,3,1,1
EVT458419,P017,S03,snacks,2026-06-08T15:58:28.088802,46,50,2,0.92,0,3,2,0
EVT660560,P006,S01,bakery,2026-06-08T15:58:28.591524,7,35,18,0.2,0,1,0,1
EVT385094,P008,S04,frozen,2026-06-08T15:58:29.093856,3,45,18,0.0667,0,4,3,1
EVT160052,P001,S02,household,2026-06-08T15:58:29.597321,3,30,5,0.1,0,5,1,1
EVT155633,P005,S04,household,2026-06-08T15:58:30.100102,19,30,2,0.6333,0,5,3,0
EVT774229,P001,S02,bakery,2026-06-08T15:58:30.602993,15,35,4,0.4286,0,1,1,1
EVT256522,P014,S01,household,2026-06-08T15:58:31.107826,28,30,0,0.9333,0,5,0,0
EVT456283,P011,S03,bakery,2026-06-08T15:58:31.609911,0,35,12,0.0,0,1,2,1
EVT293905,P001,S04,beverages,2026-06-08T15:58:32.112931,15,60,16,0.25,0,2,3,1
EVT959222,P015,S04,dairy,2026-06-08T15:58:32.616948,0,40,9,0.0,1,0,3,0
EVT737230,P015,S02,bakery,2026-06-08T15:58:33.122264,3,35,8,0.0857,1,1,1,0
EVT378487,P016,S02,snacks,2026-06-08T15:58:33.627938,20,50,12,0.4,0,3,1,1
EVT131113,P006,S01,snacks,2026-06-08T15:58:34.131045,16,50,6,0.32,1,3,0,1
EVT537153,P013,S03,household,2026-06-08T15:58:34.634769,10,30,7,0.3333,0,5,2,0
EVT965276,P006,S04,dairy,2026-06-08T15:58:35.137787,18,40,6,0.45,0,0,3,0
EVT440446,P003,S02,dairy,2026-06-08T15:58:35.641254,1,40,11,0.025,0,0,1,0
EVT427882,P019,S04,beverages,2026-06-08T15:58:36.144127,10,60,6,0.1667,0,2,3,1
EVT243237,P007,S03,household,2026-06-08T15:58:36.646889,2,30,9,0.0667,1,5,2,0
EVT716582,P010,S02,frozen,2026-06-08T15:58:37.150478,24,45,6,0.5333,0,4,1,0
EVT279994,P006,S02,beverages,2026-06-08T15:58:37.651717,4,60,8,0.0667,1,2,1,1
EVT658658,P013,S02,dairy,2026-06-08T15:58:38.154638,6,40,17,0.15,0,0,1,1
EVT381565,P001,S04,snacks,2026-06-08T15:58:38.658635,22,50,0,0.44,0,3,3,0
EVT410344,P011,S04,beverages,2026-06-08T15:58:39.160299,39,60,2,0.65,0,2,3,1
EVT131084,P013,S02,frozen,2026-06-08T15:58:39.666411,34,45,3,0.7556,0,4,1,0
EVT531952,P013,S01,beverages,2026-06-08T15:58:40.170638,12,60,11,0.2,1,2,0,0
EVT851352,P016,S04,bakery,2026-06-08T15:58:40.673923,33,35,6,0.9429,0,1,3,1
EVT754970,P008,S01,snacks,2026-06-08T15:58:41.176589,10,50,11,0.2,0,3,0,1
EVT461491,P014,S03,household,2026-06-08T15:58:41.679995,23,30,0,0.7667,0,5,2,0
